Line,EPD,pair,reliability,used.model,log.x,log.y,nboot.gc,mu.model,lambda.model,A.model,integral.model,stdmu.model,stdlambda.model,stdA.model,ci90.mu.model.lo,ci90.mu.model.up,ci90.lambda.model.lo,ci90.lambda.model.up,ci90.A.model.lo,ci90.A.model.up,ci95.mu.model.lo,ci95.mu.model.up,ci95.lambda.model.lo,ci95.lambda.model.up,ci95.A.model.lo,ci95.A.model.up,mu.spline,lambda.spline,A.spline,integral.spline,mu.bt,lambda.bt,A.bt,integral.bt,stdmu.bt,stdlambda.bt,stdA.bt,stdintegral.bt,ci90.mu.bt.lo,ci90.mu.bt.up,ci90.lambda.bt.lo,ci90.lambda.bt.up,ci90.A.bt.lo,ci90.A.bt.up,ci90.integral.bt.lo,ci90.integral.bt.up,ci95.mu.bt.lo,ci95.mu.bt.up,ci95.lambda.bt.lo,ci95.lambda.bt.up,ci95.A.bt.lo,ci95.A.bt.up,ci95.integral.bt.lo,ci95.integral.bt.up
HA2.152,1,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.031782939,27.25822586,0.462202402,29.95330345,0.001282747,0.461663832,0.001209343,0.029672821,0.033893058,26.49878886,28.01766286,0.460213033,0.464191772,0.029268755,0.034297123,26.35336475,28.16308697,0.459832089,0.464572715,0.032308502,28.79707977,0.499982979,29.92793975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,1,D03/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.025422509,26.59178903,0.441065287,27.99733485,0.000569459,0.287553583,0.000920674,0.02448575,0.026359269,26.11876339,27.06481468,0.439550779,0.442579795,0.02430637,0.026538648,26.02818401,27.15539406,0.439260766,0.442869808,0.021762326,25.74923688,0.470778467,27.95585972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.01466498,45.62682881,0.425230447,15.59874167,7.21E-05,0.088884609,0.000746085,0.014546346,0.014783613,45.48061363,45.77304399,0.424003137,0.426457756,0.014523629,0.01480633,45.45261497,45.80104264,0.423768121,0.426692773,0.016050256,47.00033838,0.424065802,15.6825671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.022683415,25.37165475,0.45616648,28.66369375,0.000249998,0.157337994,0.000594822,0.022272169,0.023094661,25.11283375,25.63047575,0.455187998,0.457144962,0.02219342,0.02317341,25.06327228,25.68003722,0.455000629,0.457332331,0.021817096,24.71064091,0.462987291,28.7412631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.019147874,23.49183573,0.445188558,27.66347781,7.07E-05,0.057159398,0.000257329,0.019031515,0.019264233,23.39780852,23.58586294,0.444765252,0.445611864,0.019009234,0.019286515,23.37980331,23.60386815,0.444684193,0.445692923,0.020017151,24.09284147,0.449470843,27.68514281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D01/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.024741114,25.01534254,0.464243613,29.50837656,0.000161952,0.086257345,0.000351945,0.024474703,0.025007524,24.87344921,25.15723588,0.463664664,0.464822562,0.024423688,0.025058539,24.84627815,25.18440694,0.463553802,0.464933425,0.024249277,24.78534557,0.469119132,29.50810844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.015313625,25.60442489,0.422131304,24.49448099,7.57E-05,0.09037633,0.000394539,0.015189143,0.015438107,25.45575582,25.75309395,0.421482288,0.422780321,0.015165306,0.015461944,25.42728728,25.78156249,0.421358008,0.422904601,0.014764822,25.05478976,0.422190004,24.47939197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D02/Mp_wt,TRUE,gompertz,FALSE,FALSE,0,0.025916401,36.5170483,0.44540124,22.21772169,0.000200828,0.070565729,0.000597169,0.025586039,0.026246763,36.40096768,36.63312893,0.444418897,0.446383583,0.025522778,0.026310024,36.37873948,36.65535713,0.444230788,0.446571691,0.026015831,36.22250936,0.448702264,22.32220361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.017802611,28.58518723,0.427728646,23.69565198,0.000101443,0.08350845,0.000497057,0.017635737,0.017969485,28.44781583,28.72255863,0.426910987,0.428546305,0.017603782,0.01800144,28.42151067,28.7488638,0.426754414,0.428702878,0.017734214,28.63865758,0.426801298,23.74354906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA2.152,2,D02/Mp_wt,TRUE,richards,FALSE,FALSE,0,0.014089517,26.25757883,0.417582202,23.33896286,5.39E-05,0.073205138,0.000353159,0.01400083,0.014178205,26.13715638,26.37800128,0.417001256,0.418163147,0.013983847,0.014195188,26.11409676,26.4010609,0.416890011,0.418274392,0.014296534,26.46148043,0.417064424,23.33400054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
