epd,clone,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310,t311,t312,t313,t314,t315,t316,t317,t318,t319,t320,t321,t322,t323,t324,t325,t326,t327,t328,t329,t330,t331,t332,t333,t334,t335,t336,t337,t338,t339,t340,t341,t342,t343
WT,D01,0.0000625,0.340749167,0.674116944,1.00744,1.340796111,1.674149444,2.007507222,2.340841389,2.674209444,3.007535,3.340912778,3.674234722,4.007570556,4.340918333,4.674284722,5.007626944,5.340978333,5.674340278,6.007713611,6.3410575,6.674410833,7.341122778,7.674493611,8.007810556,8.341172778,8.6745275,9.007882222,9.341239167,9.674579167,10.00792667,11.00799667,11.67468417,12.3414175,12.67473972,13.00809528,13.34145611,13.67482056,14.00816778,14.34149889,14.67486194,15.00819806,15.34155833,15.67488444,16.00824361,16.67498083,17.008295,17.67504306,18.34173417,18.67510694,19.00843833,19.34182056,19.67516639,20.00851889,20.341865,20.675195,21.34192389,22.00862972,22.67532389,23.00868194,23.6753925,24.00874167,24.34209833,24.67544194,25.00879861,25.34217583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340749167,0.674116944,1.00744,1.340796111,1.674149444,2.007507222,2.340841389,2.674209444,3.007535,3.340912778,3.674234722,4.007570556,4.340918333,4.674284722,5.007626944,5.340978333,5.674340278,6.007713611,6.3410575,6.674410833,7.341122778,7.674493611,8.007810556,8.341172778,8.6745275,9.007882222,9.341239167,9.674579167,10.00792667,11.00799667,11.67468417,12.3414175,12.67473972,13.00809528,13.34145611,13.67482056,14.00816778,14.34149889,14.67486194,15.00819806,15.34155833,15.67488444,16.00824361,16.67498083,17.008295,17.67504306,18.34173417,18.67510694,19.00843833,19.34182056,19.67516639,20.00851889,20.341865,20.675195,21.34192389,22.00862972,22.67532389,23.00868194,23.6753925,24.00874167,24.34209833,24.67544194,25.00879861,25.34217583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340749167,0.674116944,1.00744,1.340796111,1.674149444,2.007507222,2.340841389,2.674209444,3.007535,3.340912778,3.674234722,4.007570556,4.340918333,4.674284722,5.007626944,5.340978333,5.674340278,6.007713611,6.3410575,6.674410833,7.341122778,7.674493611,8.007810556,8.341172778,8.6745275,9.007882222,9.341239167,9.674579167,10.00792667,11.00799667,11.67468417,12.3414175,12.67473972,13.00809528,13.34145611,13.67482056,14.00816778,14.34149889,14.67486194,15.00819806,15.34155833,15.67488444,16.00824361,16.67498083,17.008295,17.67504306,18.34173417,18.67510694,19.00843833,19.34182056,19.67516639,20.00851889,20.341865,20.675195,21.34192389,22.00862972,22.67532389,23.00868194,23.6753925,24.00874167,24.34209833,24.67544194,25.00879861,25.34217583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340749167,0.674116944,1.00744,1.340796111,1.674149444,2.007507222,2.340841389,2.674209444,3.007535,3.340912778,3.674234722,4.007570556,4.340918333,4.674284722,5.007626944,5.340978333,5.674340278,6.007713611,6.3410575,6.674410833,7.341122778,7.674493611,8.007810556,8.341172778,8.6745275,9.007882222,9.341239167,9.674579167,10.00792667,11.00799667,11.67468417,12.3414175,12.67473972,13.00809528,13.34145611,13.67482056,14.00816778,14.34149889,14.67486194,15.00819806,15.34155833,15.67488444,16.00824361,16.67498083,17.008295,17.67504306,18.34173417,18.67510694,19.00843833,19.34182056,19.67516639,20.00851889,20.341865,20.675195,21.34192389,22.00862972,22.67532389,23.00868194,23.6753925,24.00874167,24.34209833,24.67544194,25.00879861,25.34217583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340749167,0.674116944,1.00744,1.340796111,1.674149444,2.007507222,2.340841389,2.674209444,3.007535,3.340912778,3.674234722,4.007570556,4.340918333,4.674284722,5.007626944,5.340978333,5.674340278,6.007713611,6.3410575,6.674410833,7.341122778,7.674493611,8.007810556,8.341172778,8.6745275,9.007882222,9.341239167,9.674579167,10.00792667,11.00799667,11.67468417,12.3414175,12.67473972,13.00809528,13.34145611,13.67482056,14.00816778,14.34149889,14.67486194,15.00819806,15.34155833,15.67488444,16.00824361,16.67498083,17.008295,17.67504306,18.34173417,18.67510694,19.00843833,19.34182056,19.67516639,20.00851889,20.341865,20.675195,21.34192389,22.00862972,22.67532389,23.00868194,23.6753925,24.00874167,24.34209833,24.67544194,25.00879861,25.34217583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340743056,0.674095,1.007423889,1.340774444,1.674109444,2.007449722,2.340780833,2.674151944,3.007487778,3.340820278,3.674182778,4.007521389,4.340884722,4.674219722,5.007581667,5.340946667,5.674303333,6.007665278,6.341024167,6.674394722,7.341112222,7.674473889,8.007830278,8.341184722,8.674545278,9.007910278,9.341269722,9.674626111,10.00796528,10.34130222,10.67464583,11.34132889,11.67468917,12.34136111,12.67472083,13.00807972,13.34142111,13.67477861,14.34147833,14.67484333,15.00817278,15.34151083,16.00818889,16.34152583,16.67489972,17.00823806,17.34159222,18.00832917,18.34166833,18.67502306,19.00838722,19.34174306,19.67509917,20.00846056,20.34180556,20.67518111,22.00853028,22.34189972,22.67523139,24.00861944,24.3419775,24.67534111,25.67538306,26.00872222,26.34206167,26.6753925,27.67545111,28.00878806,28.34212306,29.00882472,29.3421725,30.00888472,30.3422175,30.67557833,31.00891111,31.34224722,31.6756075,32.00896806,32.3423125,32.67564556,33.00898639,33.34232306,34.00904028,34.67574611,35.00908583,35.34242556,36.00913306,36.34247444,36.67581444,37.00915167,37.3424875,37.67584056,38.34255694,38.67591889,39.00926028,39.34263139,40.342675,40.67601583,41.34270278,41.67603667,42.00937611,42.34271056,42.67605306,43.00940306,43.34275722,43.67610083,44.00945444,44.34280528,45.00949611,45.34284333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340743056,0.674095,1.007423889,1.340774444,1.674109444,2.007449722,2.340780833,2.674151944,3.007487778,3.340820278,3.674182778,4.007521389,4.340884722,4.674219722,5.007581667,5.340946667,5.674303333,6.007665278,6.341024167,6.674394722,7.341112222,7.674473889,8.007830278,8.341184722,8.674545278,9.007910278,9.341269722,9.674626111,10.00796528,10.34130222,10.67464583,11.34132889,11.67468917,12.34136111,12.67472083,13.00807972,13.34142111,13.67477861,14.34147833,14.67484333,15.00817278,15.34151083,16.00818889,16.34152583,16.67489972,17.00823806,17.34159222,18.00832917,18.34166833,18.67502306,19.00838722,19.34174306,19.67509917,20.00846056,20.34180556,20.67518111,22.00853028,22.34189972,22.67523139,24.00861944,24.3419775,24.67534111,25.67538306,26.00872222,26.34206167,26.6753925,27.67545111,28.00878806,28.34212306,29.00882472,29.3421725,30.00888472,30.3422175,30.67557833,31.00891111,31.34224722,31.6756075,32.00896806,32.3423125,32.67564556,33.00898639,33.34232306,34.00904028,34.67574611,35.00908583,35.34242556,36.00913306,36.34247444,36.67581444,37.00915167,37.3424875,37.67584056,38.34255694,38.67591889,39.00926028,39.34263139,40.342675,40.67601583,41.34270278,41.67603667,42.00937611,42.34271056,42.67605306,43.00940306,43.34275722,43.67610083,44.00945444,44.34280528,45.00949611,45.34284333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340743056,0.674095,1.007423889,1.340774444,1.674109444,2.007449722,2.340780833,2.674151944,3.007487778,3.340820278,3.674182778,4.007521389,4.340884722,4.674219722,5.007581667,5.340946667,5.674303333,6.007665278,6.341024167,6.674394722,7.341112222,7.674473889,8.007830278,8.341184722,8.674545278,9.007910278,9.341269722,9.674626111,10.00796528,10.34130222,10.67464583,11.34132889,11.67468917,12.34136111,12.67472083,13.00807972,13.34142111,13.67477861,14.34147833,14.67484333,15.00817278,15.34151083,16.00818889,16.34152583,16.67489972,17.00823806,17.34159222,18.00832917,18.34166833,18.67502306,19.00838722,19.34174306,19.67509917,20.00846056,20.34180556,20.67518111,22.00853028,22.34189972,22.67523139,24.00861944,24.3419775,24.67534111,25.67538306,26.00872222,26.34206167,26.6753925,27.67545111,28.00878806,28.34212306,29.00882472,29.3421725,30.00888472,30.3422175,30.67557833,31.00891111,31.34224722,31.6756075,32.00896806,32.3423125,32.67564556,33.00898639,33.34232306,34.00904028,34.67574611,35.00908583,35.34242556,36.00913306,36.34247444,36.67581444,37.00915167,37.3424875,37.67584056,38.34255694,38.67591889,39.00926028,39.34263139,40.342675,40.67601583,41.34270278,41.67603667,42.00937611,42.34271056,42.67605306,43.00940306,43.34275722,43.67610083,44.00945444,44.34280528,45.00949611,45.34284333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340743056,0.674095,1.007423889,1.340774444,1.674109444,2.007449722,2.340780833,2.674151944,3.007487778,3.340820278,3.674182778,4.007521389,4.340884722,4.674219722,5.007581667,5.340946667,5.674303333,6.007665278,6.341024167,6.674394722,7.341112222,7.674473889,8.007830278,8.341184722,8.674545278,9.007910278,9.341269722,9.674626111,10.00796528,10.34130222,10.67464583,11.34132889,11.67468917,12.34136111,12.67472083,13.00807972,13.34142111,13.67477861,14.34147833,14.67484333,15.00817278,15.34151083,16.00818889,16.34152583,16.67489972,17.00823806,17.34159222,18.00832917,18.34166833,18.67502306,19.00838722,19.34174306,19.67509917,20.00846056,20.34180556,20.67518111,22.00853028,22.34189972,22.67523139,24.00861944,24.3419775,24.67534111,25.67538306,26.00872222,26.34206167,26.6753925,27.67545111,28.00878806,28.34212306,29.00882472,29.3421725,30.00888472,30.3422175,30.67557833,31.00891111,31.34224722,31.6756075,32.00896806,32.3423125,32.67564556,33.00898639,33.34232306,34.00904028,34.67574611,35.00908583,35.34242556,36.00913306,36.34247444,36.67581444,37.00915167,37.3424875,37.67584056,38.34255694,38.67591889,39.00926028,39.34263139,40.342675,40.67601583,41.34270278,41.67603667,42.00937611,42.34271056,42.67605306,43.00940306,43.34275722,43.67610083,44.00945444,44.34280528,45.00949611,45.34284333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT,D01,0.0000625,0.340743056,0.674095,1.007423889,1.340774444,1.674109444,2.007449722,2.340780833,2.674151944,3.007487778,3.340820278,3.674182778,4.007521389,4.340884722,4.674219722,5.007581667,5.340946667,5.674303333,6.007665278,6.341024167,6.674394722,7.341112222,7.674473889,8.007830278,8.341184722,8.674545278,9.007910278,9.341269722,9.674626111,10.00796528,10.34130222,10.67464583,11.34132889,11.67468917,12.34136111,12.67472083,13.00807972,13.34142111,13.67477861,14.34147833,14.67484333,15.00817278,15.34151083,16.00818889,16.34152583,16.67489972,17.00823806,17.34159222,18.00832917,18.34166833,18.67502306,19.00838722,19.34174306,19.67509917,20.00846056,20.34180556,20.67518111,22.00853028,22.34189972,22.67523139,24.00861944,24.3419775,24.67534111,25.67538306,26.00872222,26.34206167,26.6753925,27.67545111,28.00878806,28.34212306,29.00882472,29.3421725,30.00888472,30.3422175,30.67557833,31.00891111,31.34224722,31.6756075,32.00896806,32.3423125,32.67564556,33.00898639,33.34232306,34.00904028,34.67574611,35.00908583,35.34242556,36.00913306,36.34247444,36.67581444,37.00915167,37.3424875,37.67584056,38.34255694,38.67591889,39.00926028,39.34263139,40.342675,40.67601583,41.34270278,41.67603667,42.00937611,42.34271056,42.67605306,43.00940306,43.34275722,43.67610083,44.00945444,44.34280528,45.00949611,45.34284333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
