Evolution_line,Coculture,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197
UA3.152.02,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.02,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.02,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.02,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.02,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.03,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.03,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.03,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.03,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
UA3.152.03,EPD,0.0000625,0.340899444,0.674249722,1.007601389,1.340941944,1.674302222,2.007635556,2.340994444,2.674354167,3.007704722,3.341052778,3.674402222,4.007762778,4.341116389,4.674474444,5.007835278,5.341188056,5.674532222,6.007886667,6.341247778,6.674605556,7.007965833,7.341301389,7.6746375,8.007994444,8.341355,8.674716111,9.008080833,9.341445,9.6748025,10.00815694,10.3415125,10.67487417,11.00822556,11.34158194,11.67494472,12.00829972,12.3416625,12.67502028,13.00837222,13.34173278,13.67508389,14.0084425,14.34179306,14.67515167,15.00849778,15.34184472,15.67519083,16.00854667,16.34189694,16.67525278,17.00861167,17.34194722,17.67528333,18.00864556,18.34199111,18.67534361,19.00870194,19.34205028,19.67539806,20.00875944,20.34210917,20.67547167,21.00881611,21.34217056,21.67552389,22.34223639,22.67559306,23.00894028,23.34229333,23.67565111,24.0090025,24.34235083,24.67570778,25.00906,25.34242139,25.67578444,26.00913472,26.34248667,26.67583528,27.00918694,27.34254056,27.67588889,28.00923472,28.34257778,28.67592083,29.00927,29.3426225,29.67596639,30.00930167,30.34263861,30.67598361,31.00933611,31.34268694,31.67603722,32.00939194,32.34274778,32.67609472,33.00945028,33.34280278,33.67614917,34.00949306,34.34283917,34.67620417,35.009555,35.34290861,35.67626583,36.00960306,36.34295583,36.67630278,37.00964472,37.34299833,37.67633833,38.00968583,38.34302806,38.67638056,39.00972556,39.34306861,39.67641472,40.00973806,40.34312,40.67645778,41.00981222,41.34315361,41.67652667,42.00987639,42.34322778,42.67657694,43.00991972,43.34326389,43.67661083,44.00995278,44.34329194,44.67664056,45.00998833,45.34334444,45.6767,46.01005917,46.34341528,46.67677833,47.01013889,47.34349611,47.67684722,48.01019278,48.34354528,48.67690722,49.01026528,49.34362611,49.67696694,50.01031306,50.34366444,50.67701917,51.01038417,51.3437475,51.67710583,52.01046361,52.34379944,52.67715667,53.01049306,53.34384472,53.67720833,54.01057111,54.34392139,54.67726889,55.010615,55.34396278,55.67731667,56.01066222,56.34400694,56.67735722,57.01069583,57.34404667,57.677385,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083,61.67758694,62.01094917,58.01073806,58.34407417,58.67742611,59.01078583,59.3441375,59.67747722,60.01082194,60.34416972,60.67751694,61.0108725,61.34423083
