"","TestId","AddId","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","HA2.152.01","D01","5mM Sulfite/7.5mM Lactate",TRUE,"gompertz.exp",FALSE,FALSE,0,0.0335281042342188,12.9900030828663,0.167789431238009,2.04776659732231,0.00221908404266798,0.233834479640344,0.0129058073394632,0.0298777109840299,0.0371784974844076,12.6053453638579,13.3746608018747,0.146559378164592,0.189019484311426,0.0291786995105895,0.037877508957848,12.5316875027712,13.4483186629614,0.142494048852662,0.193084813623357,0.0480852827866105,14.0076249289704,0.18795338519346,2.06401118416026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","HA2.152.01","D01","5mM Sulfite/7.5mM Lactate",FALSE,"gompertz.exp",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00152179777224522,7.13052536252905,0.041130147059503,0.472251078665823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","HA2.152.01","D01","5mM Sulfite/7.5mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.0466426202467995,9.97633823024251,0.184674560563046,2.73302505102799,0.00460466290040727,0.351209922279472,0.000647292139901665,0.0390679497756295,0.0542172907179695,9.39859790809277,10.5540785523922,0.183609764992908,0.185739356133184,0.0376174809620012,0.0556677595315977,9.28796678257474,10.6647096779103,0.183405867968839,0.185943253157253,0.0459374019158619,9.84629544080725,0.187054335660924,2.74837506368528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","HA2.152.01","D01","5mM Sulfite/7.5mM Lactate",FALSE,"logistic",FALSE,FALSE,0,0.010815441602652,-0.280805836474792,0.205091104333313,3.21180261873487,0.00107482862245126,0.955245794946401,0.0107145212881999,0.00904734851871966,0.0125835346865843,-1.85218516916162,1.29057349621204,0.187465716814224,0.222716491852402,0.00870877750264751,0.0129221057026564,-2.15308759456974,1.59147592162015,0.184090642608441,0.226091566058185,0.0360543235265032,-0.102137039739181,0.193886682377797,3.21112478209071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","HA2.152.01","D01","5mM Sulfite/7.5mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.0404449276159737,12.0711291593854,0.159045116378042,1.98413283768482,0.00208895627760119,0.171581551442748,0.000476347223689966,0.0370085945393197,0.0438812606926276,11.7888775072621,12.3533808115087,0.158261525195072,0.159828707561012,0.0363505733118753,0.044539281920072,11.7348293185576,12.4074290002132,0.15811147581961,0.159978756936475,0.0396095466199774,11.9727998445417,0.160011699644841,1.99673033092979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HA2.152.01","D02","5mM Sulfite/7.5mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.037030534571318,12.2435805036999,0.163962754042141,2.04652358193643,0.00374031932544576,0.394697197835947,0.000728881533729244,0.0308777092809597,0.0431833598616762,11.5943036132597,12.89285739414,0.162763743919157,0.165161764165126,0.0296995086934443,0.0443615604491917,11.4699739959414,13.0171870114583,0.162534146236032,0.16539136184825,0.0366591392253345,12.0718389483182,0.165022734683685,2.0671361078598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HA2.152.01","D02","5mM Sulfite/7.5mM Lactate",TRUE,"richards",FALSE,FALSE,0,0.044503123339444,11.61524464214,0.182144871610707,2.38239880762173,0.00309568305851015,0.250928703611985,0.000612957735049754,0.0394107247081948,0.0495955219706932,11.2024669246983,12.0280223595817,0.18113655613655,0.183153187084863,0.0384355845447641,0.0505706621341239,11.1234243830605,12.1070649012195,0.180943474450009,0.183346268771404,0.0435451390732882,11.4598515961349,0.183746198612946,2.39972846120602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","HA2.152.01","D02","5mM Sulfite/7.5mM Lactate",FALSE,"gompertz.exp",FALSE,FALSE,0,0.0288361448004682,17.8883528178057,0.154524202642309,1.24007266762462,0.00216881937777174,0.21797836562182,0.0134056781037187,0.0252684369240336,0.0324038526769027,17.5297784063578,18.2469272292536,0.132471862161692,0.176576543122926,0.0245852588200355,0.0330870307809008,17.461115221187,18.3155904144245,0.12824907355902,0.180799331725597,0.038386507779901,17.9391677452598,0.182009384992186,1.25296376908651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","HA2.152.01","D02","5mM Sulfite/7.5mM Lactate",TRUE,"logistic",FALSE,FALSE,0,0.0234426360237712,14.2186942016098,0.163256883589343,1.25100974850244,0.00100419899148811,0.162897897560988,0.00275460747662041,0.0217907286827733,0.0250945433647691,13.950727160122,14.4866612430977,0.158725554290303,0.167788212888384,0.0214744060004545,0.0254108660470879,13.8994143223903,14.5379740808294,0.157857852935167,0.168655914243519,0.0418705913717552,16.5505607565449,0.155040509383956,1.30474751949802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","HA2.152.01","D02","5mM Sulfite/7.5mM Lactate",FALSE,"logistic",FALSE,FALSE,0,0.0229148856591177,8.47606010139672,0.110026801842334,1.59149721107765,0.0137624893021638,1.76267727982436,0.00970702628114611,0.000275590757058183,0.0455541805611771,5.57645597608564,11.3756642267078,0.0940587436098487,0.125994860074819,-0.00405959337312341,0.0498893646913587,5.02121263294097,11.9309075698525,0.0910010303312877,0.12905257335338,0.015226200630276,7.04697186542932,0.114316428118257,1.81737903284069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
